Dept_Name,Expense_Class,Object_Expenditure,Approp_Type,2024_Actual,2025_Program,2026_GAA,Page_No
Congress of the Philippines (CONGRESS),Salaries and other Lump-sums,Basic Salary,None,5521559,5460658,6124987,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Personnel Economic Relief Allowance,None,154679,151128,150744,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Representation Allowance,None,37492,110178,110130,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Transportation Allowance,None,31775,108480,108432,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Clothing and Uniform Allowance,None,44668,44079,43967,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Honoraria,None,459,3288,3288,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Overtime Pay,None,60024,2500,2500,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Year End Bonus,None,380723,450500,501448,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Mid-Year Bonus Civilian,None,376526,450500,501448,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Cash Gift,None,31981,31485,31405,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Per Diems,None,280,3300,3300,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Productivity Enhancement Incentive,None,110235,31485,31405,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Step Increment,None,0,13326,14822,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Magna Carta for Public Health Workers,None,39,40,40,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Hazard Pay,None,2679,0,0,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Longevity Pay,None,102459,0,0,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Provident/Welfare Fund Contributions,None,5742,1479,1479,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Lump-sum for filling of Positions Civilian,None,0,1043485,1301410,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Lump-sum for Personnel Services,None,0,2410380,2533378,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Other Personnel Benefits,None,1911337,236712,196488,1
Congress of the Philippines (CONGRESS),Other Benefits,Retirement and Life Insurance Premiums,None,649682,728691,830058,2
Congress of the Philippines (CONGRESS),Other Benefits,PAG-IBIG Contributions,None,15411,15182,15149,2
Congress of the Philippines (CONGRESS),Other Benefits,PhilHealth Contributions,None,113168,106408,113869,2
Congress of the Philippines (CONGRESS),Other Benefits,Employees Compensation Insurance Premiums,None,7974,7592,7573,2
Congress of the Philippines (CONGRESS),Other Benefits,Terminal Leave,None,132549,1232289,1464465,2
Congress of the Philippines (CONGRESS),Other Benefits,Loyalty Award Civilian,None,110,110,110,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Travelling Expenses,None,1043591,3272039,2454071,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,50658,127873,94084,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,108443,1597400,1194005,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Utility Expenses,None,200874,1537020,1079820,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Communication Expenses,None,312283,1958089,1535665,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Survey Research Exploration and Development Expenses,None,0,1,1,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Professional Services,None,1393075,6175365,4421278,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,General Services,None,217650,617108,403085,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Repairs and Maintenance,None,27919,1034178,992093,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,9617,333285,120040,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,7068641,2323335,1990751,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Advertising Expenses,None,15545,650629,456843,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Printing and Publication Expenses,None,51944,234723,169970,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Representation Expenses,None,703787,743203,719012,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,1,4190,3847,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Rent/Lease Expenses,None,434324,719264,721350,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,5595,131962,105962,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Subscription Expenses,None,37422,135165,118797,2
Congress of the Philippines (CONGRESS),Capital Outlays,Land Outlay,None,209760,209760,0,3
Congress of the Philippines (CONGRESS),Capital Outlays,Buildings and Other Structures,None,7222385,4409900,400000,3
Congress of the Philippines (CONGRESS),Capital Outlays,Machinery and Equipment Outlay,None,1905652,2460285,307653,3
Congress of the Philippines (CONGRESS),Capital Outlays,Transportation Equipment Outlay,None,53653,721530,107000,3
Congress of the Philippines (CONGRESS),Capital Outlays,Leased Assets Improvements,None,0,254561,0,3
Congress of the Philippines (CONGRESS),Capital Outlays,Furniture Fixtures and Books Outlay,None,276004,747082,210252,3
Congress of the Philippines (CONGRESS),Capital Outlays,Other Property Plant and Equipment Outlay,None,3462,134368,1108,3
Congress of the Philippines (CONGRESS),Capital Outlays,Intangible Assets Outlay,None,10000,50900,0,3
Office of the President (OP),Salaries and other Lump-sums,Basic Salary,None,515552,493717,628672,3
Office of the President (OP),Other Compensation Common to All,Personnel Economic Relief Allowance,None,21335,21936,23328,3
Office of the President (OP),Other Compensation Common to All,Representation Allowance,None,11686,10086,12588,3
Office of the President (OP),Other Compensation Common to All,Transportation Allowance,None,8226,10086,12588,3
Office of the President (OP),Other Compensation Common to All,Clothing and Uniform Allowance,None,6272,6398,6804,4
Office of the President (OP),Other Compensation Common to All,Honoraria,None,819,0,0,4
Office of the President (OP),Other Compensation Common to All,Overtime Pay,None,609,0,0,4
Office of the President (OP),Other Compensation Common to All,Year End Bonus,None,43241,41143,52391,4
Office of the President (OP),Other Compensation Common to All,Mid-Year Bonus Civilian,None,40606,41143,52391,4
Office of the President (OP),Other Compensation Common to All,Cash Gift,None,4479,4570,4860,4
Office of the President (OP),Other Compensation Common to All,Productivity Enhancement Incentive,None,4529,4570,4860,4
Office of the President (OP),Other Compensation Common to All,Step Increment,None,0,1233,1572,4
Office of the President (OP),Other Compensation Common to All,Performance Based Bonus,None,39970,0,0,4
Office of the President (OP),Other Compensation Common to All,Collective Negotiation Agreement,None,45666,0,0,4
Office of the President (OP),Other Compensation for Specific Groups,Other Personnel Benefits,None,35209,0,0,4
Office of the President (OP),Other Benefits,Retirement and Life Insurance Premiums,None,60387,59246,75440,4
Office of the President (OP),Other Benefits,Pension Civilian Personnel,None,480,480,480,4
Office of the President (OP),Other Benefits,PAG-IBIG Contributions,None,2031,2193,2332,4
Office of the President (OP),Other Benefits,PhilHealth Contributions,None,11484,11130,13622,4
Office of the President (OP),Other Benefits,Employees Compensation Insurance Premiums,None,1069,1097,1167,4
Office of the President (OP),Other Benefits,Terminal Leave,None,43345,17404,15287,4
Office of the President (OP),Other Benefits,Loyalty Award Civilian,None,620,0,10,4
Office of the President (OP),Maintenance and Other Operating Services,Travelling Expenses,None,345121,1774695,890997,4
Office of the President (OP),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,87096,149789,151756,4
Office of the President (OP),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,238838,533186,758523,4
Office of the President (OP),Maintenance and Other Operating Services,Utility Expenses,None,123058,174668,179268,5
Office of the President (OP),Maintenance and Other Operating Services,Communication Expenses,None,10058,131247,55333,5
Office of the President (OP),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,814,2300,3470,5
Office of the President (OP),Maintenance and Other Operating Services,Professional Services,None,42394,1087515,2893557,5
Office of the President (OP),Maintenance and Other Operating Services,General Services,None,29571,405978,73845,5
Office of the President (OP),Maintenance and Other Operating Services,Repairs and Maintenance,None,65805,186364,146531,5
Office of the President (OP),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,32388,49256,59599,5
Office of the President (OP),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,11591,24867,20874,5
Office of the President (OP),Maintenance and Other Operating Services,Intelligence Expenses,None,2310000,2310000,2310000,5
Office of the President (OP),Maintenance and Other Operating Services,Confidential Expenses,None,2250000,2250000,2250000,5
Office of the President (OP),Maintenance and Other Operating Services,Advertising Expenses,None,14329,10467,10330,5
Office of the President (OP),Maintenance and Other Operating Services,Printing and Publication Expenses,None,9538,29186,53341,5
Office of the President (OP),Maintenance and Other Operating Services,Representation Expenses,None,1096679,2179499,3470271,5
Office of the President (OP),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,171,8309,520,5
Office of the President (OP),Maintenance and Other Operating Services,Rent/Lease Expenses,None,74465,785297,3556502,5
Office of the President (OP),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,13296,15000,17000,5
Office of the President (OP),Maintenance and Other Operating Services,Subscription Expenses,None,32929,72030,74456,5
Office of the President (OP),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,4,824658,8587604,5
Office of the President (OP),Capital Outlays,Land Improvements Outlay,None,0,0,16300,5
Office of the President (OP),Capital Outlays,Buildings and Other Structures,None,1211227,997689,558300,5
Office of the President (OP),Capital Outlays,Machinery and Equipment Outlay,None,79056,429128,62197,5
Office of the President (OP),Capital Outlays,Transportation Equipment Outlay,None,119489,102447,53655,5
Office of the President (OP),Capital Outlays,Furniture Fixtures and Books Outlay,None,2143,895,5551,5
Office of the President (OP),Capital Outlays,Other Property Plant and Equipment Outlay,None,1228,35076,14500,5
Office of the President (OP),Capital Outlays,Intangible Assets Outlay,None,13715,2450,10000,5
Office of the Vice-President (OVP),Salaries and other Lump-sums,Basic Salary,None,97403,91232,113826,6
Office of the Vice-President (OVP),Other Compensation Common to All,Personnel Economic Relief Allowance,None,3635,3576,3888,6
Office of the Vice-President (OVP),Other Compensation Common to All,Representation Allowance,None,1268,1386,1434,6
Office of the Vice-President (OVP),Other Compensation Common to All,Transportation Allowance,None,940,1386,1434,6
Office of the Vice-President (OVP),Other Compensation Common to All,Clothing and Uniform Allowance,None,1043,1043,1134,6
Office of the Vice-President (OVP),Other Compensation Common to All,Overtime Pay,None,629,0,0,6
Office of the Vice-President (OVP),Other Compensation Common to All,Year End Bonus,None,8501,7603,9485,6
Office of the Vice-President (OVP),Other Compensation Common to All,Mid-Year Bonus Civilian,None,7768,7603,9485,6
Office of the Vice-President (OVP),Other Compensation Common to All,Cash Gift,None,781,745,810,6
Office of the Vice-President (OVP),Other Compensation Common to All,Productivity Enhancement Incentive,None,772,745,810,6
Office of the Vice-President (OVP),Other Compensation Common to All,Step Increment,None,0,228,284,6
Office of the Vice-President (OVP),Other Compensation Common to All,Performance Based Bonus,None,5356,0,0,6
Office of the Vice-President (OVP),Other Compensation Common to All,Collective Negotiation Agreement,None,6144,0,0,6
Office of the Vice-President (OVP),Other Compensation for Specific Groups,Other Personnel Benefits,None,5859,0,0,6
Office of the Vice-President (OVP),Other Compensation for Specific Groups,Anniversary Bonus Civilian,None,0,654,0,6
Office of the Vice-President (OVP),Other Benefits,Retirement and Life Insurance Premiums,None,11901,10948,13659,6
Office of the Vice-President (OVP),Other Benefits,PAG-IBIG Contributions,None,348,358,389,6
Office of the Vice-President (OVP),Other Compensation for Specific Groups,Special Duty Allowance,None,21437,25308,15226,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Travelling Expenses,None,35180,62500,56000,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,2720,3000,3000,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,408892,201227,288107,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Utility Expenses,None,6219,8062,8062,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Communication Expenses,None,8483,8840,10115,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,104,500,500,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Professional Services,None,107692,12700,64237,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,General Services,None,31870,42665,39575,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Repairs and Maintenance,None,6554,10100,11600,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,831858,0,39600,7
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,1965,2250,2250,8
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,516,620,620,8
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Representation Expenses,None,33798,87954,59104,8
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,10940,12687,12687,8
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Rent/Lease Expenses,None,63659,32426,57000,8
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Subscription Expenses,None,7982,13101,19891,8
Office of the Vice-President (OVP),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,1147,600,1405,8
Office of the Vice-President (OVP),Capital Outlays,Machinery and Equipment Outlay,None,6391,50900,16604,8
Office of the Vice-President (OVP),Capital Outlays,Transportation Equipment Outlay,None,18370,5500,0,8
Office of the Vice-President (OVP),Capital Outlays,Furniture Fixtures and Books Outlay,None,308,0,0,8
Office of the Vice-President (OVP),Capital Outlays,Leased Assets Improvements,None,1640,0,0,8
Department of Agrarian Reform (DAR),Salaries and other Lump-sums,Basic Salary,None,4001110,3805142,4445602,8
Department of Agrarian Reform (DAR),Other Compensation Common to All,Personnel Economic Relief Allowance,None,196536,200016,201864,8
Department of Agrarian Reform (DAR),Other Compensation Common to All,Representation Allowance,None,105553,96954,100980,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Transportation Allowance,None,96835,96144,99876,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Clothing and Uniform Allowance,None,56529,58338,58877,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Honoraria,None,89076,101014,101248,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Overtime Pay,None,5767,0,0,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Year End Bonus,None,325274,317091,370471,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Mid-Year Bonus Civilian,None,319067,317091,370471,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Cash Gift,None,40882,41670,42055,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Productivity Enhancement Incentive,None,40290,41670,42055,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Step Increment,None,0,9506,11105,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Performance Based Bonus,None,140536,0,0,9
Department of Agrarian Reform (DAR),Other Compensation Common to All,Collective Negotiation Agreement,None,220237,0,0,9
Department of Agrarian Reform (DAR),Other Compensation for Specific Groups,Quarters Allowance,None,94,0,0,9
Department of Agrarian Reform (DAR),Other Compensation for Specific Groups,Other Personnel Benefits,None,172634,0,0,9
Department of Agrarian Reform (DAR),Other Compensation for Specific Groups,Anniversary Bonus Civilian,None,0,0,25296,9
Department of Agrarian Reform (DAR),Other Benefits,Retirement and Life Insurance Premiums,None,465743,456606,533463,9
Department of Agrarian Reform (DAR),Other Benefits,PAG-IBIG Contributions,None,18191,19990,20179,9
Department of Agrarian Reform (DAR),Other Benefits,PhilHealth Contributions,None,93064,92635,106599,9
Department of Agrarian Reform (DAR),Other Benefits,Employees Compensation Insurance Premiums,None,9875,9989,10077,9
Department of Agrarian Reform (DAR),Other Benefits,Loyalty Award Civilian,None,4186,5225,0,9
Department of Agrarian Reform (DAR),Other Benefits,Terminal Leave,None,325486,153572,171178,9
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Travelling Expenses,None,685374,489508,527978,9
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,596512,536436,644975,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,709609,690008,846183,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Utility Expenses,None,153376,203142,177803,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Communication Expenses,None,127396,183273,138477,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,3797,3032,2179,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Survey Research Exploration and Development Expenses,None,1448113,186762,3981570,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Professional Services,None,1723785,831317,1052494,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,General Services,None,331208,310232,328261,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Repairs and Maintenance,None,114555,192159,189342,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,3757978,645227,1427839,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,20081,19162,19960,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,9448,9477,10846,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Advertising Expenses,None,34270,2863,1007,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Printing and Publication Expenses,None,91900,7302,7826,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Representation Expenses,None,471987,101504,141915,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,8364,21058,17890,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Rent/Lease Expenses,None,304683,179391,192924,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,127,253,180,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Subscription Expenses,None,6713,334239,102607,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Donations,None,12,35,5,10
Department of Agrarian Reform (DAR),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,522649,101721,764285,10
Department of Agrarian Reform (DAR),Capital Outlays,Land Improvements Outlay,None,0,3726,0,10
Department of Agrarian Reform (DAR),Capital Outlays,Infrastructure Outlay,None,2619400,647,806111,10
Department of Agrarian Reform (DAR),Capital Outlays,Buildings and Other Structures,None,20149,0,0,10
Department of Agrarian Reform (DAR),Capital Outlays,Machinery and Equipment Outlay,None,6791,205434,44352,10
Department of Agrarian Reform (DAR),Capital Outlays,Transportation Equipment Outlay,None,0,16088,22250,10
Department of Agrarian Reform (DAR),Capital Outlays,Furniture Fixtures and Books Outlay,None,1189,4500,0,10
Department of Agriculture (DA),Salaries and other Lump-sums,Basic Salary,None,4401408,4097604,4904042,11
Department of Agriculture (DA),Other Compensation Common to All,Personnel Economic Relief Allowance,None,216419,215856,221424,11
Department of Agriculture (DA),Other Compensation Common to All,Representation Allowance,None,45110,35076,39402,11
Department of Agriculture (DA),Other Compensation Common to All,Transportation Allowance,None,27467,34770,39072,11
Department of Agriculture (DA),Other Compensation Common to All,Clothing and Uniform Allowance,None,61819,62958,64582,11
Department of Agriculture (DA),Other Compensation Common to All,Honoraria,None,18382,0,0,11
Department of Agriculture (DA),Other Compensation Common to All,Overtime Pay,None,8543,0,0,11
Department of Agriculture (DA),Other Compensation Common to All,Year End Bonus,None,361359,341471,408673,11
Department of Agriculture (DA),Other Compensation Common to All,Mid-Year Bonus Civilian,None,361436,341471,408673,11
Department of Agriculture (DA),Other Compensation Common to All,Cash Gift,None,45161,44970,46130,11
Department of Agriculture (DA),Other Compensation Common to All,Productivity Enhancement Incentive,None,44486,44970,46130,11
Department of Agriculture (DA),Other Compensation Common to All,Step Increment,None,0,10247,12257,11
Department of Agriculture (DA),Other Compensation Common to All,Performance Based Bonus,None,51766,0,0,11
Department of Agriculture (DA),Other Compensation Common to All,Collective Negotiation Agreement,None,267384,0,0,11
Department of Agriculture (DA),Other Compensation for Specific Groups,Magna Carta for Public Health Workers,None,49185,47854,54514,11
Department of Agriculture (DA),Other Compensation for Specific Groups,Magna Carta for Science & Technology Personnel,None,243104,334812,349838,11
Department of Agriculture (DA),Other Compensation for Specific Groups,Overseas Allowance,None,39880,52425,52425,11
Department of Agriculture (DA),Other Compensation for Specific Groups,Other Personnel Benefits,None,191240,144,36,11
Department of Agriculture (DA),Other Benefits,Retirement and Life Insurance Premiums,None,515340,491717,588479,12
Department of Agriculture (DA),Other Benefits,PAG-IBIG Contributions,None,19431,21593,22144,12
Department of Agriculture (DA),Other Benefits,PhilHealth Contributions,None,105068,100759,119268,12
Department of Agriculture (DA),Other Benefits,Employees Compensation Insurance Premiums,None,11031,10793,11082,12
Department of Agriculture (DA),Other Benefits,Loyalty Award Civilian,None,4435,17945,5785,12
Department of Agriculture (DA),Other Benefits,Terminal Leave,None,342456,203274,202642,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Travelling Expenses,None,1340981,1426995,1740466,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,3262278,4943418,5097089,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,21745469,24087060,47418535,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Utility Expenses,None,561551,597719,641240,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Communication Expenses,None,249028,399663,328170,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,90174,160944,251714,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Survey Research Exploration and Development Expenses,None,15451,99792,21900,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Demolition/Relocation and Desilting/Dredging Expenses,None,0,2000,0,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Professional Services,None,5236564,5443851,6338940,12
Department of Agriculture (DA),Maintenance and Other Operating Services,General Services,None,601330,514356,604437,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Repairs and Maintenance,None,1262843,1037194,1775250,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,33228982,11162211,18616580,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,185664,178557,182080,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Labor and Wages,None,780357,866186,895282,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,13023,13167,13886,12
Department of Agriculture (DA),Maintenance and Other Operating Services,Advertising Expenses,None,141672,162849,157361,13
Department of Agriculture (DA),Maintenance and Other Operating Services,Printing and Publication Expenses,None,94778,143038,190585,13
Department of Agriculture (DA),Maintenance and Other Operating Services,Representation Expenses,None,394094,486975,511413,13
Department of Agriculture (DA),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,27752,34798,25854,13
Department of Agriculture (DA),Maintenance and Other Operating Services,Rent/Lease Expenses,None,215520,339887,306644,13
Department of Agriculture (DA),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,6167,6139,6033,13
Department of Agriculture (DA),Maintenance and Other Operating Services,Subscription Expenses,None,338132,207697,213865,13
Department of Agriculture (DA),Maintenance and Other Operating Services,Donations,None,2007870,4725079,14273118,13
Department of Agriculture (DA),Maintenance and Other Operating Services,Legal Defense Expense,None,697,0,0,13
Department of Agriculture (DA),Maintenance and Other Operating Services,Bank Transaction Fee,None,676,1019,985,13
Department of Agriculture (DA),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,2021558,2986775,3713958,13
Department of Agriculture (DA),Capital Outlays,Land Improvements Outlay,None,152517,541809,505084,13
Department of Agriculture (DA),Capital Outlays,Infrastructure Outlay,None,8981024,36288719,44216185,13
Department of Agriculture (DA),Capital Outlays,Buildings and Other Structures,None,2781656,5747098,8490877,13
Department of Agriculture (DA),Capital Outlays,Machinery and Equipment Outlay,None,12192204,11139362,13674965,13
Department of Agriculture (DA),Capital Outlays,Transportation Equipment Outlay,None,2355202,615665,1289629,13
Department of Agriculture (DA),Capital Outlays,Furniture Fixtures and Books Outlay,None,22427,47501,82655,13
Department of Agriculture (DA),Capital Outlays,Other Property Plant and Equipment Outlay,None,12104,34737,13843,13
Department of Agriculture (DA),Capital Outlays,Loans Outlay,None,2750000,3812442,5100000,13
Department of Agriculture (DA),Capital Outlays,Biological Assets Outlay,None,857373,551844,2150649,13
Department of Agriculture (DA),Capital Outlays,Intangible Assets Outlay,None,46021,85668,24088,13
Department of Budget and Management (DBM),Other Compensation Common to All,Personnel Economic Relief Allowance,None,27772,26520,29160,14
Department of Budget and Management (DBM),Other Compensation Common to All,Representation Allowance,None,20207,14022,15564,14
Department of Budget and Management (DBM),Other Compensation Common to All,Transportation Allowance,None,15368,14022,15492,14
Department of Budget and Management (DBM),Other Compensation Common to All,Clothing and Uniform Allowance,None,8144,7735,8505,14
Department of Budget and Management (DBM),Other Compensation Common to All,Honoraria,None,702,4922,4383,14
Department of Budget and Management (DBM),Other Compensation Common to All,Overtime Pay,None,37234,0,0,14
Department of Budget and Management (DBM),Other Compensation Common to All,Year End Bonus,None,63978,58508,72735,14
Department of Budget and Management (DBM),Other Compensation Common to All,Mid-Year Bonus Civilian,None,61249,58508,72735,14
Department of Budget and Management (DBM),Other Compensation Common to All,Cash Gift,None,5819,5525,6075,14
Department of Budget and Management (DBM),Other Compensation Common to All,Productivity Enhancement Incentive,None,5773,5525,6075,14
Department of Budget and Management (DBM),Other Compensation Common to All,Step Increment,None,0,1755,2181,14
Department of Budget and Management (DBM),Other Compensation Common to All,Performance Based Bonus,None,33324,0,0,14
Department of Budget and Management (DBM),Other Compensation Common to All,Collective Negotiation Agreement,None,37638,0,0,14
Department of Budget and Management (DBM),Other Compensation for Specific Groups,Other Personnel Benefits,None,53040,30170,37841,14
Department of Budget and Management (DBM),Other Benefits,Retirement and Life Insurance Premiums,None,97339,84252,104740,14
Department of Budget and Management (DBM),Other Benefits,PAG-IBIG Contributions,None,2671,2653,2916,14
Department of Budget and Management (DBM),Other Benefits,PhilHealth Contributions,None,17875,16591,20232,14
Department of Budget and Management (DBM),Other Benefits,Employees Compensation Insurance Premiums,None,1432,1327,1457,14
Department of Budget and Management (DBM),Other Benefits,Terminal Leave,None,19879,11164,9269,14
Department of Budget and Management (DBM),Other Benefits,Loyalty Award Civilian,None,405,365,1045,14
Department of Budget and Management (DBM),Maintenance and Other Operating Services,Travelling Expenses,None,47861,110756,90327,15
Department of Budget and Management (DBM),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,112000,131971,118132,15
Department of Budget and Management (DBM),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,48381,85221,110073,15
Department of Budget and Management (DBM),Maintenance and Other Operating Services,Utility Expenses,None,47273,63883,68774,15
Department of Budget and Management (DBM),Maintenance and Other Operating Services,Communication Expenses,None,28824,41879,43414,15
Department of Budget and Management (DBM),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,17,0,100,15
Department of Budget and Management (DBM),Maintenance and Other Operating Services,Professional Services,None,97576,138178,102138,15
Department of Budget and Management (DBM),Maintenance and Other Operating Services,General Services,None,95943,109033,122713,15
Department of Budget and Management (DBM),Maintenance and Other Operating Services,Repairs and Maintenance,None,43828,85431,90883,15
